"site_code.x","project_name","community_type","mode_yr","site_proj_comm","OID_","site_code.y","Latitude","Longitude","MAP","MAT","GDiv","ANPP","HumanDisturbance","N_Deposition"
"HYS","EDGE","0",2,"HYS_EDGE_0",51,"HYS",39.08731,-99.138703,599,11.7,113.7031723,246,9.5366306,780.62323
"Harts Draw","0","0",2,"Harts Draw",261,"Harts Draw",38.02,-109.49,372,8.7,18,NA,6.8621707,297.7605896
"Harts Point","0","0",2,"Harts Point",262,"Harts Point",37.96,-109.5,338,8.6,15,NA,9.7071238,274.468689
"Hayoka","WarmNit","0",2,"Hayoka_WarmNit_0",49,"Hayoka",69.66,18.78,892,2.3,10,376,26.580721,160.613739
"Horse Pature","0","0",2,"Horse Pature",263,"Horse Pature",39.07,-109.56,270,10.4,23,NA,9.6694765,297.7605896
"Hotel Mesa","0","0",3,"Hotel Mesa",264,"Hotel Mesa",38.84,-109.24,237,11.6,32,NA,11.9193525,297.7605896
"House Park","0","0",1,"House Park",265,"House Park",38,-109.86,327,9.1,35,NA,11.0291729,297.7605896
"IMGERS","NDE","0",1,"IMGERS_NDE_0",53,"IMGERS",43.4333333,116.0666667,331,0.2,30.71503472,213.9466667,6.538836,694.2258301
"IMGERS","Yu","0",1,"IMGERS_Yu_0",52,"IMGERS",43.4333333,116.0666667,331,0.2,28.06756944,147.0404167,6.538836,694.2258301
"India_Kibber","0","0",1,"India_Kibber",266,"India_Kibber",32.34,78.02,400,0.1,34,55,10.8216419,1539.635986
"India_Nutnet","0","0",2,"India_Nutnet",267,"India_Nutnet",32.32,78.01,507,0.6,15,55,10.9348993,1539.635986
"JRN","study 119","BajadaShrubland",1,"JRN_study 119_BajadaShrubland",57,"JRN",32.53,-106.7235,253,15,86.60546502,104,11.5964527,299.6559143
"JRN","study 119","BasinSlopes",1,"JRN_study 119_BasinSlopes",56,"JRN",32.53,-106.7235,253,15,104.8671249,113,11.5964527,299.6559143
