genus_species,species_matched,AccSpeciesID,AccSpeciesName,ObsNum,ObsGRNum,MeasNum,MeasGRNum,TraitNum,match,old
artimisia frigida,Artemisia frigida,5187,Artemisia frigida,1253,1192,15425,15203,166,1,Artemisia frigida
haplopappus spinulosus,Xanthisma spinulosum,101376,Xanthisma spinulosum,48,4,69,21,20,1,Xanthisma spinulosum
haplopappus spinulosus,Xanthisma spinulosum,343960,Machaeranthera pinnatifida ssp. pinnatifida var. pinnatifida,1,NA,1,NA,1,1,Xanthisma spinulosum
haplopappus spinulosus,Xanthisma spinulosum,401092,Xanthisma spinulosum var. glaberrimum,1,NA,1,NA,1,1,Xanthisma spinulosum
haplopappus spinulosus,Xanthisma spinulosum,401093,Xanthisma spinulosum var. gooddingii,5,NA,5,NA,1,1,Xanthisma spinulosum
haplopappus spinulosus,Xanthisma spinulosum,401094,Xanthisma spinulosum var. spinulosum,3,NA,3,NA,1,1,Xanthisma spinulosum
ipompsis laxiflora,Ipomopsis laxiflora,235053,Ipomopsis laxiflora,5,NA,7,NA,3,1,Ipomopsis laxiflora
orobanche fasciculata,Orobanche fasciculata,39307,Orobanche fasciculata,26,NA,37,NA,10,1,Orobanche fasciculata
sitanion hystrix,Elymus elymoides,20272,Elymus elymoides,193,107,1536,562,115,1,Elymus elymoides
sitanion hystrix,Elymus elymoides,223558,Elymus elymoides ssp. elymoides,3,NA,3,NA,2,1,Elymus elymoides
sitanion hystrix,Elymus elymoides,314773,Elymus elymoides subsp. californicus,1,NA,1,NA,1,1,Elymus elymoides
tradescantia occidenalis,Tradescantia occidentalis,54592,Tradescantia occidentalis,35,12,108,57,34,1,Tradescantia occidentalis
tradescantia occidenalis,Tradescantia occidentalis,395247,Tradescantia occidentalis var. melanthera,1,NA,1,NA,1,1,Tradescantia occidentalis var. melanthera
tradescantia occidenalis,Tradescantia occidentalis,395248,Tradescantia occidentalis var. scopulorum,2,NA,2,NA,1,1,Tradescantia occidentalis
astragalus pectinatus,Astragalus pectinatus,75832,Astragalus pectinatus,10,2,26,14,10,1,Astragalus pectinatus
elaeagnus commutata,Elaeagnus commutata,19916,Elaeagnus commutata,111,3,351,27,127,1,Elaeagnus commutata
erigeron glabellus,Erigeron glabellus,21651,Erigeron glabellus,31,4,66,31,19,1,Erigeron glabellus
erigeron glabellus,Erigeron glabellus,224502,Erigeron glabellus var. pubescens,4,NA,4,NA,2,1,Erigeron glabellus
erigeron glabellus,Erigeron glabellus,317073,Erigeron glabellus var. glabellus,6,NA,6,NA,1,1,Erigeron glabellus
allionia incarnata,Allionia incarnata,2499,Allionia incarnata,35,5,107,63,34,1,Allionia incarnata
allionia incarnata,Allionia incarnata,275440,Allionia incarnata var. incarnata,1,NA,1,NA,1,1,Allionia incarnata
allionia incarnata,Allionia incarnata,275441,Allionia incarnata var. nudata,1,NA,1,NA,1,1,Allionia incarnata
allionia incarnata,Allionia incarnata,275442,Allionia incarnata var. villosa,1,NA,1,NA,1,1,Allionia incarnata
aphanostephus ramosissimus,Aphanostephus ramosissimus,75062,Aphanostephus ramosissimus,13,2,18,5,7,1,Aphanostephus ramosissimus
aphanostephus ramosissimus,Aphanostephus ramosissimus,203812,Aphanostephus ramosissimus var. humilis,19,NA,38,NA,9,1,Aphanostephus ramosissimus
aphanostephus ramosissimus,Aphanostephus ramosissimus,203813,Aphanostephus ramosissimus var. ramosissimus,5,NA,5,NA,2,1,Aphanostephus ramosissimus
astragalus nuttallianus,Astragalus nuttallianus,205729,Astragalus nuttallianus,26,NA,43,NA,12,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,205730,Astragalus nuttallianus var. pleianthus,3,NA,5,NA,1,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,205731,Astragalus nuttallianus var. trichocarpus,10,NA,18,NA,4,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,283930,Astragalus nuttallianus var. austrinus,2,NA,2,NA,1,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,283931,Astragalus nuttallianus var. cedrosensis,1,NA,1,NA,1,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,283932,Astragalus nuttallianus var. imperfectus,1,NA,1,NA,1,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,283933,Astragalus nuttallianus var. macilentus,1,NA,1,NA,1,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,283934,Astragalus nuttallianus var. micranthiformis,1,NA,1,NA,1,1,Astragalus nuttallianus var. micranthiformis
astragalus nuttallianus,Astragalus nuttallianus,283935,Astragalus nuttallianus var. nuttallianus,1,NA,1,NA,1,1,Astragalus nuttallianus
astragalus nuttallianus,Astragalus nuttallianus,283936,Astragalus nuttallianus var. zapatanus,1,NA,1,NA,1,1,Astragalus nuttallianus var. zapatanus
atriplex canescens,Atriplex canescens,6054,Atriplex canescens,145,40,934,528,145,1,Atriplex canescens
atriplex canescens,Atriplex canescens,205922,Atriplex canescens var. linearis,10,NA,26,NA,11,1,Atriplex canescens
atriplex canescens,Atriplex canescens,284478,Atriplex canescens var. gigantea,1,NA,1,NA,1,1,Atriplex canescens var. gigantea
atriplex canescens,Atriplex canescens,284479,Atriplex canescens var. laciniata,1,NA,1,NA,1,1,Atriplex canescens var. laciniata
bouteloua barbata,Chondrosum barbatum,12543,Chondrosum barbatum,50,1,67,5,16,1,Chondrosum barbatum
bouteloua barbata,Chondrosum barbatum,288036,Bouteloua barbata,1,NA,1,NA,1,1,Chondrosum barbatum
bouteloua eriopoda,Chondrosum eriopodum,12547,Chondrosum eriopodum,47,20,228,101,64,1,Chondrosum eriopodum
chamaesyce albomarginata,Euphorbia albomarginata,23328,Euphorbia albomarginata,13,3,47,29,26,1,Euphorbia albomarginata
chamaesyce lata,Euphorbia lata,23475,Euphorbia lata,10,NA,16,NA,7,1,Euphorbia lata
chamaesyce serpyllifolia,Euphorbia serpyllifolia,23583,Euphorbia serpyllifolia,94,56,216,159,37,1,Euphorbia serpyllifolia
chamaesyce serpyllifolia,Euphorbia serpyllifolia,227039,Euphorbia serpillifolia,1,NA,3,NA,1,1,Euphorbia serpyllifolia
chamaesyce serpyllifolia,Euphorbia serpyllifolia,227040,Euphorbia serpyllifolia subsp. hirtula,4,NA,6,NA,4,1,Euphorbia serpyllifolia
chamaesyce serpyllifolia,Euphorbia serpyllifolia,296634,Chamaesyce serpillifolia subsp. serpillifolia,1,NA,1,NA,1,1,Euphorbia serpyllifolia
chamaesyce serrula,Euphorbia serrula,23586,Euphorbia serrula,16,NA,18,NA,9,1,Euphorbia serrula
cryptantha crassisepala,Cryptantha crassisepala,218239,Cryptantha crassisepala,10,NA,12,NA,3,1,Cryptantha crassisepala
dalea nana,Dalea nana,219690,Dalea nana,11,2,16,5,6,1,Dalea nana
dalea nana,Dalea nana,307569,Dalea nana var. carnescens,1,NA,1,NA,1,1,Dalea nana
dalea nana,Dalea nana,307570,Dalea nana var. nana,1,NA,1,NA,1,1,Dalea nana
dasyochloa pulchella,Erioneuron pulchellum,21803,Erioneuron pulchellum,36,11,93,61,20,1,Erioneuron pulchellum
echinocereus fendleri,Echinocereus fendleri,222433,Echinocereus fendleri,16,NA,19,NA,4,1,Echinocereus fendleri
echinocereus fendleri,Echinocereus fendleri,313479,Echinocereus fendleri subsp. fendleri,1,NA,1,NA,1,1,Echinocereus fendleri
echinocereus fendleri,Echinocereus fendleri,313480,Echinocereus fendleri var. kuenzleri,3,NA,3,NA,1,1,Echinocereus fendleri
echinocereus fendleri,Echinocereus fendleri,313481,Echinocereus fendleri var. ledingii,2,NA,2,NA,1,1,Echinocereus fendleri
echinocereus fendleri,Echinocereus fendleri,313482,Echinocereus fendleri var. rectispinus,3,NA,3,NA,1,1,Echinocereus fendleri
ecinomastus intertextus,Echinomastus intertextus,222499,Echinomastus intertextus,6,NA,8,NA,3,1,Echinomastus intertextus
ecinomastus intertextus,Echinomastus intertextus,313520,Echinomastus intertextus subsp. intertextus,5,NA,5,NA,1,1,Echinomastus intertextus
enneapogon desvauxii,Enneapogon desvauxii,20627,Enneapogon desvauxii,48,7,82,21,22,1,Enneapogon desvauxii
erigeron divergens,Erigeron divergens,21643,Erigeron divergens,117,82,397,345,42,1,Erigeron divergens
eriogonum abertianum,Eriogonum abertianum,224671,Eriogonum abertianum,10,NA,12,NA,3,1,Eriogonum abertianum
eriogonum abertianum,Eriogonum abertianum,317429,Eriogonum abertianum var. cyclosepalum,1,NA,1,NA,1,1,Eriogonum abertianum
eriogonum rotundifolium,Eriogonum rotundifolium,224770,Eriogonum rotundifolium,5,NA,7,NA,3,1,Eriogonum rotundifolium
