"year","exp_unit","richness","Evar"
2018,"amlr.is::2::19::NK::2018",11,0.289562336698078
2019,"amlr.is::2::19::NK::2019",11,0.167046445418914
2016,"amlr.is::2::20::PK::2016",7,0.417802056876755
2017,"amlr.is::2::20::PK::2017",8,0.293787798548473
2018,"amlr.is::2::20::PK::2018",9,0.336945205570925
2019,"amlr.is::2::20::PK::2019",13,0.615411454040991
2016,"amlr.is::3::21::Control::2016",4,0.266923225122224
2017,"amlr.is::3::21::Control::2017",7,0.180128032402339
2018,"amlr.is::3::21::Control::2018",7,0.217425454977105
2019,"amlr.is::3::21::Control::2019",12,0.399469326094054
2016,"amlr.is::3::22::Fence::2016",5,0.437378647382309
2017,"amlr.is::3::22::Fence::2017",5,0.694703582050559
2018,"amlr.is::3::22::Fence::2018",6,0.88059728347059
2019,"amlr.is::3::22::Fence::2019",9,0.248227177224588
2016,"amlr.is::3::23::NPK::2016",11,0.275059780838282
2017,"amlr.is::3::23::NPK::2017",9,0.201516268629722
2018,"amlr.is::3::23::NPK::2018",12,0.21326901230387
2019,"amlr.is::3::23::NPK::2019",16,0.150953836779522
2016,"amlr.is::3::24::NPK+Fence::2016",10,0.321371171711376
2017,"amlr.is::3::24::NPK+Fence::2017",13,0.239336454473873
2018,"amlr.is::3::24::NPK+Fence::2018",11,0.309751600151764
2019,"amlr.is::3::24::NPK+Fence::2019",13,0.113464588456769
2016,"amlr.is::3::25::N::2016",3,0.870814574607088
2017,"amlr.is::3::25::N::2017",6,0.165576728475524
2018,"amlr.is::3::25::N::2018",7,0.219934969768275
2019,"amlr.is::3::25::N::2019",9,0.255502421276511
2016,"amlr.is::3::26::P::2016",4,0.305291544254977
2017,"amlr.is::3::26::P::2017",7,0.214832973761075
2018,"amlr.is::3::26::P::2018",7,0.21870191604684
2019,"amlr.is::3::26::P::2019",9,0.207884032591499
2016,"amlr.is::3::27::K::2016",7,0.364259387393487
2017,"amlr.is::3::27::K::2017",7,0.357313096152074
2018,"amlr.is::3::27::K::2018",6,0.923898109345373
2019,"amlr.is::3::27::K::2019",10,0.552132611574082
2016,"amlr.is::3::28::NP::2016",5,0.354777926561453
2017,"amlr.is::3::28::NP::2017",6,0.15551203169167
2018,"amlr.is::3::28::NP::2018",7,0.316777904360867
2019,"amlr.is::3::28::NP::2019",10,0.131219982804082
2016,"amlr.is::3::29::NK::2016",3,0.317851045715549
2017,"amlr.is::3::29::NK::2017",7,0.353325418063265
2018,"amlr.is::3::29::NK::2018",8,0.357559446090636
2019,"amlr.is::3::29::NK::2019",10,0.188912094995503
2016,"amlr.is::3::30::PK::2016",5,1
2017,"amlr.is::3::30::PK::2017",10,0.182726750210899
2018,"amlr.is::3::30::PK::2018",11,0.815016898251333
2019,"amlr.is::3::30::PK::2019",12,0.352066462337343
2013,"anti.ec::1::1::Control::2013",16,0.307832491959825
2013,"anti.ec::1::10::Control::2013",39,0.372619223292121
2013,"anti.ec::1::2::Control::2013",49,0.385691895520324
2013,"anti.ec::1::3::Control::2013",40,0.336031230284921
2013,"anti.ec::1::4::Control::2013",17,0.338335410164919
2013,"anti.ec::1::5::Control::2013",17,0.308436336689347
2013,"anti.ec::1::6::Control::2013",39,0.34801218158426
2013,"anti.ec::1::7::Control::2013",19,0.301162919753535
2013,"anti.ec::1::8::Control::2013",36,0.361773180078164
2013,"anti.ec::1::9::Control::2013",20,0.341361405159329
2013,"anti.ec::2::11::Control::2013",40,0.319784597024097
2013,"anti.ec::2::12::Control::2013",16,0.417143007880018
2013,"anti.ec::2::13::Control::2013",20,0.359484147982854
2013,"anti.ec::2::14::Control::2013",32,0.303525878918363
2013,"anti.ec::2::15::Control::2013",41,0.315716652506733
2013,"anti.ec::2::16::Control::2013",22,0.327703449771834
2013,"anti.ec::2::17::Control::2013",39,0.320356410688775
2013,"anti.ec::2::18::Control::2013",14,0.26993373977038
2013,"anti.ec::2::19::Control::2013",15,0.29282005318434
2013,"anti.ec::2::20::Control::2013",28,0.28948375197569
2013,"anti.ec::3::21::Control::2013",37,0.378008313574549
2013,"anti.ec::3::22::Control::2013",13,0.306285905191722
2013,"anti.ec::3::23::Control::2013",34,0.322621005728471
2013,"anti.ec::3::24::Control::2013",16,0.345213854772055
2013,"anti.ec::3::25::Control::2013",34,0.294280063137989
2013,"anti.ec::3::26::Control::2013",14,0.273324863951713
2013,"anti.ec::3::27::Control::2013",11,0.297842235156926
2013,"anti.ec::3::28::Control::2013",32,0.335607839402211
2013,"anti.ec::3::29::Control::2013",15,0.527630817839543
2013,"anti.ec::3::30::Control::2013",35,0.322838100231168
2013,"anti.ec::4::31::Control::2013",4,0.686372095703222
2013,"anti.ec::4::32::Control::2013",20,0.331280209485978
2013,"anti.ec::4::33::Control::2013",19,0.640607375216773
2013,"anti.ec::4::34::Control::2013",10,0.230838969281043
