"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"VERONICA SCUTELLATA","VERONICA","","scutellata",NA,NA,"","","kew-2462066",TRUE,"1.1","Accepted","Plantaginaceae","Veronica","","scutellata","","","L.","kew-2462066","Accepted",FALSE,FALSE,FALSE,2024-07-10
"GALIUM TRIFIDUM","GALIUM","","trifidum",NA,NA,"","","kew-87745",TRUE,"1.1","Accepted","Rubiaceae","Galium","","trifidum","","","L.","kew-87745","Accepted",FALSE,FALSE,FALSE,2024-07-10
"JUNCUS ENSIFOLIUS","JUNCUS","","ensifolius",NA,NA,"","","kew-314960",TRUE,"1.1","Accepted","Juncaceae","Juncus","","ensifolius","","","Wikstr.","kew-314960","Accepted",FALSE,FALSE,FALSE,2024-07-10
"DELPHINIUM MENZIESII","DELPHINIUM","","menziesii",NA,NA,"","","kew-2760052",TRUE,"1.1","Accepted","Ranunculaceae","Delphinium","","menziesii","","","DC.","kew-2760052","Accepted",FALSE,FALSE,FALSE,2024-07-10
"GAYOPHYTUM HUMILE","GAYOPHYTUM","","humile",NA,NA,"","","kew-2818490",TRUE,"1.1","Accepted","Onagraceae","Gayophytum","","humile","","","Juss.","kew-2818490","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PRUNELLA VULGARIS","PRUNELLA","","vulgaris",NA,NA,"","","kew-166020",TRUE,"1.1","Accepted","Lamiaceae","Prunella","","vulgaris","","","L.","kew-166020","Accepted",FALSE,FALSE,FALSE,2024-07-10
"RUDBECKIA OCCIDENTALIS","RUDBECKIA","","occidentalis",NA,NA,"","","gcc-103394",TRUE,"1.1","Accepted","Compositae","Rudbeckia","","occidentalis","","","Nutt.","gcc-103394","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PSEUDOTSUGA MENZIESII","PSEUDOTSUGA","","menziesii",NA,NA,"","","kew-2556763",TRUE,"1.1","Accepted","Pinaceae","Pseudotsuga","","menziesii","","","(Mirb.) Franco","kew-2556763","Accepted",FALSE,FALSE,FALSE,2024-07-10
"AIRA SP.","AIRA","","sp.",NA,NA,"","","",FALSE,"1.1","","","AIRA","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"ANGELICA GENUFLEXA","ANGELICA","","genuflexa",NA,NA,"","","kew-2639082",TRUE,"1.1","Accepted","Apiaceae","Angelica","","genuflexa","","","Nutt.","kew-2639082","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SENECIO SP.","SENECIO","","sp.",NA,NA,"","","",FALSE,"1.1","","","SENECIO","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"LUZULA SP.","LUZULA","","sp.",NA,NA,"","","",FALSE,"1.1","","","LUZULA","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"RANUNCULUS UNCINATUS","RANUNCULUS","","uncinatus",NA,NA,"","","tro-27100597",TRUE,"1.1","Accepted","Ranunculaceae","Ranunculus","","uncinatus","","","D. Don","tro-27100597","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ANEMONE OREGANA","ANEMONE","","oregana",NA,NA,"","","kew-2638543",TRUE,"1.1","Accepted","Ranunculaceae","Anemone","","oregana","","","A.Gray","kew-2638543","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CORNUS CANADENSIS","CORNUS","","canadensis",NA,NA,"","","kew-47300",TRUE,"1.1","Accepted","Cornaceae","Cornus","","canadensis","","","L.","kew-47300","Accepted",FALSE,FALSE,FALSE,2024-07-10
"LACTUCA SP.","LACTUCA","","sp.",NA,NA,"","","",FALSE,"1.1","","","LACTUCA","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"CAMASSIA QUAMASH","CAMASSIA","","quamash",NA,NA,"","","kew-301849",TRUE,"1.1","Accepted","Asparagaceae","Camassia","","quamash","","","(Pursh) Greene","kew-301849","Accepted",FALSE,FALSE,FALSE,2024-07-10
"LOMATIUM NUDICAULE","LOMATIUM","","nudicaule",NA,NA,"","","tro-1700903",TRUE,"1.1","Accepted","Apiaceae","Lomatium","","nudicaule","","","(Pursh) J.M. Coult. & Rose","tro-1700903","Accepted",FALSE,FALSE,FALSE,2024-07-10
