"year","exp_unit","richness","Evar"
"2012","azi.cn::2::Fence",26,0.185273183690715
"2008","azi.cn::2::K",40,0.492262643444818
"2009","azi.cn::2::K",34,0.595158480888599
"2011","azi.cn::2::K",30,0.66673410308019
"2012","azi.cn::2::K",23,0.377714025564339
"2008","azi.cn::2::N",29,0.519609641621638
"2009","azi.cn::2::N",31,0.518326669815216
"2011","azi.cn::2::N",18,0.435470050941476
"2012","azi.cn::2::N",24,0.201108041083663
"2008","azi.cn::2::NK",35,0.480860351067806
"2009","azi.cn::2::NK",33,0.534675980315998
"2011","azi.cn::2::NK",17,0.498915995979222
"2012","azi.cn::2::NK",36,0.509974183333782
"2008","azi.cn::2::NP",30,0.461219555451932
"2009","azi.cn::2::NP",35,0.52931601964659
"2011","azi.cn::2::NP",25,0.472960874098884
"2012","azi.cn::2::NP",27,0.459427939577354
"2008","azi.cn::2::NPK",36,0.503992520976867
"2009","azi.cn::2::NPK",30,0.551130011074231
"2011","azi.cn::2::NPK",21,0.450333414395631
"2012","azi.cn::2::NPK",38,0.521816227420468
"2008","azi.cn::2::NPK+Fence",35,0.549400091553684
"2009","azi.cn::2::NPK+Fence",31,0.508141633578313
"2011","azi.cn::2::NPK+Fence",27,0.53221354809946
"2012","azi.cn::2::NPK+Fence",34,0.547315292223794
"2008","azi.cn::2::P",36,0.567554864254622
"2009","azi.cn::2::P",30,0.519708343642502
"2011","azi.cn::2::P",23,0.565579294023618
"2012","azi.cn::2::P",35,0.293841017358353
"2008","azi.cn::2::PK",35,0.614031829917152
"2009","azi.cn::2::PK",31,0.6283840326923
"2011","azi.cn::2::PK",23,0.541847674027724
"2012","azi.cn::2::PK",28,0.26162806006943
"2007","azi.cn::3::Control",52,0.216127406679892
"2008","azi.cn::3::Control",36,0.591143642393193
"2009","azi.cn::3::Control",31,0.662313111479335
"2011","azi.cn::3::Control",26,0.434876127791204
